id,rated,turns,victory_status,winner
TZJHLljE,FALSE,13,outoftime,white
l1NXvwaE,TRUE,16,resign,black
mIICvQHh,TRUE,61,mate,white
kWKvrqYL,TRUE,61,mate,white
9tXo1AUZ,TRUE,95,mate,white
MsoDV9wj,FALSE,5,draw,draw
qwU9rasv,TRUE,33,resign,white
RVN0N3VK,FALSE,9,resign,black
dwF3DJHO,TRUE,66,resign,black
afoMwnLg,TRUE,119,mate,white
HgKLWPsz,FALSE,39,mate,white
Vf5fKWzI,FALSE,38,resign,black
HRti5mKv,FALSE,60,resign,black
2fEjSei6,FALSE,31,resign,black
u7i6dOaJ,FALSE,31,mate,white
guanvMR5,FALSE,43,resign,black
PmpkWkmm,FALSE,52,resign,black
EwaK0IsE,FALSE,66,mate,black
yrSDozT3,FALSE,101,resign,black
x31mXlvc,FALSE,25,resign,white
oQklnWWp,FALSE,14,resign,black
QFCZwY1f,FALSE,3,resign,white
5cgBygpI,FALSE,17,resign,white
UhXXBOMY,TRUE,36,resign,white
mCij4hBq,TRUE,13,resign,black
ifUMWtVj,TRUE,69,mate,white
Wf0zuLQQ,TRUE,43,resign,white
srz9QfSN,TRUE,54,mate,black
NS6ccssb,TRUE,53,resign,black
M3vpf2Ki,TRUE,66,mate,black
fXhNOnOn,TRUE,64,resign,black
DiCTkvZH,TRUE,64,mate,black
FSkgvV2E,TRUE,54,resign,white
F1mRjzPr,FALSE,21,resign,black
Lq24M4KQ,FALSE,11,resign,white
lHNM8cl5,TRUE,19,resign,black
GfeEgLV3,TRUE,28,resign,white
OR6aULrW,FALSE,22,resign,black
Yg006qwa,FALSE,37,resign,white
G5S21pXK,FALSE,34,resign,white
R9a2DLwe,FALSE,32,draw,draw
r4LcBZA7,FALSE,71,resign,black
SDDXGw21,FALSE,30,resign,white
oqoT4DLS,FALSE,66,resign,white
eSociDPG,FALSE,41,resign,white
mpzYDfIK,FALSE,49,resign,white
27zreJYy,FALSE,3,resign,black
IRYkgI8N,FALSE,7,resign,white
tLnhk43J,FALSE,35,mate,white
iq3Kz06t,FALSE,41,mate,white
AAw1TiNN,FALSE,5,resign,black
n4vRYUCW,FALSE,7,resign,white
KYPdQv8e,FALSE,53,mate,white
p30PeXvE,FALSE,36,resign,black
PBS4FEld,TRUE,8,resign,white
0lDqWVlz,TRUE,3,resign,white
O3wdIwg7,TRUE,28,resign,white
48ktrxLp,TRUE,30,resign,black
i2GBGO0R,TRUE,44,resign,black
QZSTu1aT,TRUE,29,resign,white
9tU9MM6P,TRUE,37,resign,black
ztpC1S2c,TRUE,49,resign,white
qc8aH5XL,TRUE,32,resign,black
6sTz6t7D,TRUE,25,resign,white
XuyVUkDi,TRUE,40,mate,black
D5Oa4vGO,TRUE,39,resign,white
6QAiH2Yy,TRUE,57,resign,white
l7top9ps,TRUE,78,resign,black
nG3Of11I,TRUE,61,resign,white
cUzM68JF,TRUE,44,resign,black
NZSBXWl2,TRUE,62,mate,black
DHuXFP6C,TRUE,87,mate,white
00R4UOcU,TRUE,54,mate,black
IN15cBnB,TRUE,54,resign,black
WYOts2ME,TRUE,37,resign,white
oWFQ8mnz,TRUE,50,resign,white
i2I8y9Xh,TRUE,131,resign,white
osPCRdxJ,TRUE,48,resign,white
Mi1AmkiI,TRUE,47,resign,black
7kK30TmL,TRUE,64,mate,black
ThCXomTn,TRUE,61,resign,white
4dH72B3d,TRUE,57,mate,white
4jRtIZTy,TRUE,51,resign,white
wNK2HdLb,TRUE,58,mate,black
d62Tg4dc,TRUE,71,resign,white
TaSQfvww,TRUE,114,resign,white
Xwpzq87m,TRUE,39,resign,white
AHmgnsKz,TRUE,20,resign,black
MfNml1rl,TRUE,48,resign,black
mEAvshF2,TRUE,34,mate,black
ySsVdRfw,TRUE,51,resign,white
ylLqmXwb,TRUE,69,resign,white
8mceLIXN,TRUE,28,resign,white
YmJpuJkM,TRUE,62,resign,black
PNNfempy,TRUE,62,mate,black
TVfozmF5,TRUE,85,mate,white
4LX77G3m,TRUE,38,resign,white
nBfSissu,FALSE,14,resign,white
h1unxHlo,TRUE,113,draw,draw
OIyTAHCP,TRUE,62,resign,white
bnCnIJSz,TRUE,101,resign,white
ZzWyY1f8,TRUE,75,outoftime,white
mkKSL3Ev,TRUE,135,mate,white
aVwWNjNR,TRUE,81,outoftime,white
DNUmSBH4,TRUE,46,resign,black
Tlng5eqN,TRUE,70,mate,black
wljkejE0,TRUE,39,resign,white
iNZuj8bY,TRUE,91,resign,white
Kan2JKOp,TRUE,137,outoftime,white
bCUwPEJ7,TRUE,46,resign,black
zTwM10Si,TRUE,18,resign,black
PBQ5Il7e,TRUE,28,resign,black
z1LTn4pe,TRUE,40,resign,black
7NKtCk3B,TRUE,111,mate,white
TMtvbg3w,TRUE,54,mate,black
0OXPfTEt,TRUE,33,resign,white
YzMf40DM,TRUE,90,resign,black
q3NHAFFp,TRUE,90,resign,black
Gz7Icasx,TRUE,40,mate,black
3n4poRIX,TRUE,49,outoftime,white
XRuQPSzH,TRUE,50,resign,black
XPZikam7,TRUE,59,mate,white
5SNh53F9,TRUE,26,outoftime,black
ezdEKpqG,TRUE,23,mate,white
WyQjriEX,TRUE,118,mate,black
vAOIY0jj,TRUE,66,mate,black
gHld9WSr,TRUE,120,draw,draw
dh2xQb3X,TRUE,36,mate,black
TKwuIzb6,TRUE,26,mate,black
s752sCLr,TRUE,62,resign,black
lKYmVLZt,TRUE,37,resign,white
dRhehsEy,TRUE,24,resign,black
7rbdtPwO,FALSE,47,resign,white
ahwTovI0,TRUE,37,resign,black
fgK91ojo,TRUE,24,resign,black
Cmhkui8U,TRUE,9,resign,white
TRpFAEWd,TRUE,47,mate,white
btHFH9xr,TRUE,85,mate,white
G9xaiPFl,TRUE,39,mate,white
RkMlSx4r,TRUE,58,mate,black
Z1CTghfR,TRUE,95,mate,white
X4QqWp8Q,TRUE,2,resign,black
R6dF4yRx,TRUE,97,mate,white
PLxCc87r,TRUE,12,draw,draw
p7a4FGwp,TRUE,30,resign,white
3udM9T6k,TRUE,43,mate,white
hkMNenrh,TRUE,11,resign,white
jrmlULM0,TRUE,72,mate,black
JbLparSt,TRUE,156,mate,black
mqZFkCf3,TRUE,18,resign,black
dZn9WLT5,FALSE,77,mate,white
MgL176RS,TRUE,32,resign,black
V16nc5AF,TRUE,35,resign,white
GT8TdRlm,TRUE,85,mate,white
2P2u5f63,TRUE,50,resign,black
15nlkNRf,TRUE,111,resign,white
xwl41jna,TRUE,65,outoftime,white
1zRjgcqm,TRUE,73,resign,white
vfnLULoh,TRUE,125,resign,white
ut6LIGPI,TRUE,76,resign,black
1KbSJtjs,TRUE,65,outoftime,white
cqrATt9o,TRUE,41,mate,white
deKfSOPy,TRUE,59,resign,white
vQ1psjxd,TRUE,70,resign,black
k1qV5HHz,TRUE,34,resign,white
QQ3iIM2V,TRUE,69,outoftime,white
GppFo58m,TRUE,63,resign,white
BoDJGVyk,TRUE,107,resign,white
tqirXAEm,TRUE,58,resign,white
GLC4oNZR,FALSE,34,resign,black
3eLsB99C,TRUE,100,outoftime,black
M6zMVwqK,TRUE,80,resign,black
yrQWTJVz,TRUE,44,resign,black
aF6DiZZe,TRUE,40,outoftime,black
0dm3RaQv,TRUE,105,outoftime,white
BxxAvvER,TRUE,50,resign,black
fPPfEuu5,FALSE,144,outoftime,draw
Hysqcekp,FALSE,81,resign,black
oaKcGCrO,TRUE,69,resign,black
xMezmOBz,TRUE,77,mate,white
46AuHfcq,TRUE,158,mate,black
A7ddojjI,TRUE,107,draw,draw
SGqoxO3v,TRUE,117,mate,white
pHJ5zXyE,TRUE,44,resign,white
WqMvA7iE,TRUE,40,resign,black
s3v6jMaX,TRUE,59,resign,white
hl3zLZmV,FALSE,110,resign,black
PHYPEO42,TRUE,30,resign,black
NgZ8xxFe,TRUE,54,resign,black
1ZeBVc5V,TRUE,69,resign,black
OmwDxZpJ,TRUE,178,mate,black
JewxmuG9,TRUE,136,resign,black
0gTDO6Av,FALSE,124,mate,black
t7vvcwqO,TRUE,96,resign,black
igSDFKv0,TRUE,53,outoftime,white
facMwkUo,TRUE,39,mate,white
j5KY62yS,TRUE,10,mate,black
nyYULwUl,TRUE,51,mate,white
h0YsGMhj,TRUE,18,resign,black
o4T7dj5h,FALSE,106,mate,black
VgNt0SSX,FALSE,38,mate,black
UvqLtnPM,TRUE,59,mate,white
1b0kpInt,TRUE,111,mate,white
dJEtAQp7,TRUE,28,resign,black
ZPHBiKBY,FALSE,101,outoftime,white
I8odmGjb,FALSE,15,mate,white
DijZlfMy,FALSE,42,resign,white
LyRqbD4d,FALSE,118,resign,black
CvakmVNb,FALSE,34,resign,black
O037dETy,FALSE,60,resign,black
CxQlHSnq,FALSE,66,resign,black
Q0jogkvi,FALSE,21,outoftime,white
QurxyQkA,TRUE,73,mate,white
mJ9VpdxV,TRUE,159,mate,white
edYOVb5F,FALSE,74,resign,white
GstYv2mJ,FALSE,28,mate,black
dFQ5D7CS,TRUE,112,mate,black
2FpFvoMt,TRUE,104,resign,black
cywOBEY5,TRUE,40,mate,black
pnU8dLUx,TRUE,44,mate,black
lE65efFF,TRUE,150,draw,draw
bCVL4bZl,TRUE,60,mate,black
WUyPeYW8,TRUE,37,mate,white
xRY7h8aS,TRUE,88,outoftime,black
92UGyHOr,TRUE,113,mate,white
UqxaqU7R,TRUE,55,mate,white
TTzZc8gW,TRUE,135,mate,white
F7oADKYb,TRUE,137,draw,draw
GoYkQEoS,TRUE,97,outoftime,white
DszY6Pr4,FALSE,33,resign,black
FhJcOzZW,FALSE,29,resign,black
kKFslhlg,FALSE,55,resign,black
VVkKGe4E,TRUE,91,resign,white
11VaOez1,TRUE,53,resign,white
2akR3Bit,TRUE,49,mate,white
mG2dEz4z,TRUE,48,mate,black
xrZnbIGD,TRUE,20,resign,black
lOU3lddA,TRUE,87,mate,white
xYEVgk0W,TRUE,11,resign,white
QnXuc72h,TRUE,110,draw,draw
ejaSwZEr,TRUE,24,resign,white
3ZfA3gFa,TRUE,23,resign,white
WoOqoYEL,TRUE,81,mate,white
EgoW2NiE,FALSE,34,resign,black
ZctgRAt4,TRUE,103,mate,white
VuZ0dzhO,TRUE,29,resign,black
1cvi4Z6K,FALSE,22,resign,black
E83xJFBo,FALSE,38,resign,white
hVSNfLer,TRUE,46,mate,black
XyM6zTew,TRUE,23,outoftime,white
5sEcA5zs,TRUE,31,resign,white
wXnKMk3N,FALSE,51,resign,white
YPVYpEvm,FALSE,87,mate,white
rth667hB,TRUE,31,mate,white
rb7lq7dT,TRUE,38,resign,black
hxMTrlzW,FALSE,43,resign,white
hfNJtVnd,TRUE,105,resign,white
ijtzfFex,FALSE,87,outoftime,white
Uc64bIGE,FALSE,36,mate,black
o1qwAoUy,TRUE,38,resign,black
voV4ekhS,TRUE,110,resign,black
VUCRbEm8,TRUE,48,resign,black
LDLdtyDj,FALSE,95,mate,white
Gr1n1AdP,FALSE,70,mate,black
1TpYTEKR,FALSE,42,resign,white
AUzK1bj8,TRUE,177,outoftime,white
R5SfPQiB,TRUE,114,mate,black
VXdhNTk5,TRUE,57,resign,white
kTRSenmv,TRUE,57,resign,white
FE7B5vY8,FALSE,82,draw,draw
PEIWrbTQ,TRUE,29,mate,white
8hlHAFPF,TRUE,70,resign,black
BwBDbyKq,TRUE,97,mate,white
E41MaCB9,TRUE,99,resign,white
UVbhSOnA,FALSE,74,resign,black
HYMGpINp,TRUE,48,mate,black
L9UeFctE,TRUE,77,mate,white
DbYHY9Bc,TRUE,80,resign,black
7fftvkF6,TRUE,35,resign,white
IlQp1eqc,TRUE,33,resign,white
atgsbOBS,TRUE,87,mate,white
Kx4jd1Oo,TRUE,40,resign,black
5vg0pHEg,TRUE,54,resign,black
5uNNVd3c,TRUE,67,resign,black
aGVLNoTY,TRUE,21,mate,white
W4eyc9dH,TRUE,14,mate,black
l2My0J1h,FALSE,71,resign,white
eRHQGmr2,TRUE,72,outoftime,black
D45fTp2y,TRUE,62,resign,black
lTOKfWMv,TRUE,48,resign,black
sd7oPNum,TRUE,6,outoftime,black
xLmd5oZZ,TRUE,69,draw,draw
T3gAyyeH,TRUE,72,resign,white
HDPjH5bD,TRUE,40,mate,black
cFSW3SMi,TRUE,29,mate,white
wsNnVC6Y,TRUE,44,resign,white
UxvU6EN4,TRUE,59,mate,white
mjXUQnww,TRUE,115,resign,white
lC84DiKq,TRUE,70,resign,black
A17jdHS8,TRUE,36,resign,black
t5ixT6HN,TRUE,83,resign,white
8uZRNw8n,TRUE,99,draw,draw
vwQzM7Sg,TRUE,43,resign,white
